time_min,eATP_explants_no_hydrolysis_nM
9.200000000000001,0.4741449831078235
9.3,0.4763848266414171
9.4,0.4786488846996983
9.5,0.48093715728266695
9.600000000000001,0.48324964439032314
9.700000000000001,0.48558634602266676
9.8,0.4879472621796979
9.9,0.49033239286141655
10.0,0.49274173806782273
10.100000000000001,0.4951752977989164
10.200000000000001,0.49763307205469753
10.3,0.5001150608351662
10.4,0.5026212641403223
10.5,0.5051516819701659
10.600000000000001,0.5077063143246971
10.700000000000001,0.5102851612039158
10.8,0.512888222607822
10.9,0.5155154985364155
11.0,0.5181669889896967
11.100000000000001,0.5208426939676654
11.200000000000001,0.5235426134703215
11.3,0.5262667474976651
11.4,0.5290150960496962
11.5,0.5317876591264148
11.600000000000001,0.534584436727821
11.700000000000001,0.5374054288539146
11.8,0.5402506355046958
11.9,0.5431200566801644
12.0,0.5460136923803205
12.100000000000001,0.5489315426051642
12.200000000000001,0.5518736073546953
12.3,0.5548398866289139
12.4,0.5578303804278201
12.5,0.5608450887514136
12.600000000000001,0.5638840115996948
12.700000000000001,0.5669471489726634
12.8,0.5700345008703196
12.9,0.5731460672926632
13.0,0.5762818482396943
13.100000000000001,0.5794418437114129
13.200000000000001,0.5826260537078191
13.3,0.5858344782289127
13.4,0.5890671172746937
13.5,0.5923239708451624
13.600000000000001,0.5956050389403185
13.700000000000001,0.5989103215601621
13.8,0.6022398187046932
13.9,0.6055935303739118
14.0,0.6089714565678179
14.100000000000001,0.6123735972864115
14.200000000000001,0.6157999525296927
14.3,0.6192505222976612
14.4,0.6227253065903173
14.5,0.6262243054076609
14.600000000000001,0.6297475187496921
14.700000000000001,0.6332949466164107
14.8,0.6368665890078168
14.9,0.6404624459239103
15.0,0.6440825173646915
15.100000000000001,0.6477268033301602
15.200000000000001,0.6513953038203162
15.3,0.6550880188351598
15.4,0.658804948374691
15.5,0.6625460924389095
15.600000000000001,0.6663114510278156
15.700000000000001,0.6701010241414092
15.8,0.6739148117796903
15.9,0.6777528139426588
16.0,0.6816150306303149
16.1,0.6855014618426585
16.2,0.6894121075796895
16.3,0.6933469678414081
16.400000000000002,0.6973060426278144
16.5,0.7012893319389079
16.6,0.7052968357746889
16.7,0.7093285541351575
16.8,0.7133844870203137
16.900000000000002,0.7174646344301573
17.0,0.7215689963646883
17.1,0.7256975728239069
17.2,0.7298503638078129
17.3,0.7340273693164066
17.400000000000002,0.7382285893496876
17.5,0.7424540239076562
17.6,0.7467036729903123
17.7,0.7509775365976558
17.8,0.7552756147296869
17.900000000000002,0.7595979073864055
18.0,0.7639444145678116
18.1,0.7683151362739051
18.2,0.772710072504686
18.3,0.7771292232601548
18.400000000000002,0.7815725885403109
18.5,0.7860401683451543
18.6,0.7905319626746854
18.7,0.795047971528904
18.8,0.7995881949078101
18.900000000000002,0.8041526328114037
19.0,0.8087412852396847
19.1,0.8133541521926533
